"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester United (C)",38,25,7,6,73,35,"+38",82,"Qualification for the Champions League group stage"
"1992–93",2,"Newcastle United",38,24,6,8,66,37,"+29",78,"Qualification for the UEFA Cup first round"
"1992–93",3,"Liverpool",38,20,11,7,70,34,"+36",71,"Qualification for the Cup Winners' Cup first round[a]"
"1992–93",4,"Aston Villa",38,18,9,11,52,35,"+17",63,"Qualification for the UEFA Cup first round"
"1992–93",5,"Arsenal",38,17,12,9,49,32,"+17",63,"Qualification for the UEFA Cup first round"
"1992–93",6,"Everton",38,17,10,11,64,44,"+20",61,""
"1992–93",7,"Blackburn Rovers",38,18,7,13,61,47,"+14",61,""
"1992–93",8,"Tottenham Hotspur",38,16,13,9,50,38,"+12",61,""
"1992–93",9,"Nottingham Forest",38,15,13,10,50,54,"-4",58,""
"1992–93",10,"West Ham United",38,14,9,15,43,52,"-9",51,""
"1992–93",11,"Chelsea",38,12,14,12,46,44,"+2",50,""
"1992–93",12,"Middlesbrough",38,11,10,17,35,50,"-15",43,""
"1992–93",13,"Leeds United",38,12,7,19,40,57,"-17",43,""
"1992–93",14,"Wimbledon",38,10,11,17,55,70,"-15",41,""
"1992–93",15,"Sheffield Wednesday",38,10,10,18,48,61,"-13",40,""
"1992–93",16,"Coventry City",38,8,14,16,42,60,"-18",38,""
"1992–93",17,"Southampton",38,9,11,18,34,52,"-18",38,""
"1992–93",18,"Manchester City (R)",38,9,11,18,33,58,"-25",38,"Relegation to the Football League First Division"
"1992–93",19,"Queens Park Rangers (R)",38,9,6,23,38,57,"-19",33,"Relegation to the Football League First Division"
"1992–93",20,"Bolton Wanderers (R)",38,8,5,25,39,71,"-32",29,"Relegation to the Football League First Division"
