"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester City (C)",38,32,4,2,106,27,"+79",100,"Qualification for the Champions League group stage"
"1992–93",2,"Manchester United",38,25,6,7,68,28,"+40",81,"Qualification for the Champions League group stage"
"1992–93",3,"Tottenham Hotspur",38,23,8,7,74,36,"+38",77,"Qualification for the Champions League group stage"
"1992–93",4,"Liverpool",38,21,12,5,84,38,"+46",75,"Qualification for the Champions League group stage"
"1992–93",5,"Chelsea",38,21,7,10,62,38,"+24",70,"Qualification for the Europa League group stage[a]"
"1992–93",6,"Arsenal",38,19,6,13,74,51,"+23",63,"Qualification for the Europa League group stage[a]"
"1992–93",7,"Burnley",38,14,12,12,36,39,"-3",54,"Qualification for the Europa League second qualifying round[a]"
"1992–93",8,"Everton",38,13,10,15,44,58,"-14",49,""
"1992–93",9,"Leicester City",38,12,11,15,56,60,"-4",47,""
"1992–93",10,"Newcastle United",38,12,8,18,39,47,"-8",44,""
"1992–93",11,"Crystal Palace",38,11,11,16,45,55,"-10",44,""
"1992–93",12,"Bournemouth",38,11,11,16,45,61,"-16",44,""
"1992–93",13,"West Ham United",38,10,12,16,48,68,"-20",42,""
"1992–93",14,"Watford",38,11,8,19,44,64,"-20",41,""
"1992–93",15,"Brighton & Hove Albion",38,9,13,16,34,54,"-20",40,""
"1992–93",16,"Huddersfield Town",38,9,10,19,28,58,"-30",37,""
"1992–93",17,"Southampton",38,7,15,16,37,56,"-19",36,""
"1992–93",18,"Swansea City (R)",38,8,9,21,28,56,"-28",33,"Relegation to the EFL Championship"
"1992–93",19,"Stoke City (R)",38,7,12,19,35,68,"-33",33,"Relegation to the EFL Championship"
"1992–93",20,"West Bromwich Albion (R)",38,6,13,19,31,56,"-25",31,"Relegation to the EFL Championship"
