"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Arsenal (C)",38,26,12,0,73,26,"+47",90,"Qualification for the Champions League group stage"
"1992–93",2,"Chelsea",38,24,7,7,67,30,"+37",79,"Qualification for the Champions League group stage"
"1992–93",3,"Manchester United",38,23,6,9,64,35,"+29",75,"Qualification for the Champions League third qualifying round[a]"
"1992–93",4,"Liverpool",38,16,12,10,55,37,"+18",60,"Qualification for the Champions League third qualifying round[a]"
"1992–93",5,"Newcastle United",38,13,17,8,52,40,"+12",56,"Qualification for the UEFA Cup first round"
"1992–93",6,"Aston Villa",38,15,11,12,48,44,"+4",56,""
"1992–93",7,"Charlton Athletic",38,14,11,13,51,51,"0",53,""
"1992–93",8,"Bolton Wanderers",38,14,11,13,48,56,"-8",53,""
"1992–93",9,"Fulham",38,14,10,14,52,46,"+6",52,""
"1992–93",10,"Birmingham City",38,12,14,12,43,48,"-5",50,""
"1992–93",11,"Middlesbrough",38,13,9,16,44,52,"-8",48,"Qualification for the UEFA Cup first round[b]"
"1992–93",12,"Southampton",38,12,11,15,44,45,"-1",47,""
"1992–93",13,"Portsmouth",38,12,9,17,47,54,"-7",45,""
"1992–93",14,"Tottenham Hotspur",38,13,6,19,47,57,"-10",45,""
"1992–93",15,"Blackburn Rovers",38,12,8,18,51,59,"-8",44,""
"1992–93",16,"Manchester City",38,9,14,15,55,54,"+1",41,""
"1992–93",17,"Everton",38,9,12,17,45,57,"-12",39,""
"1992–93",18,"Leicester City (R)",38,6,15,17,48,65,"-17",33,"Relegation to the Football League Championship"
"1992–93",19,"Leeds United (R)",38,8,9,21,40,79,"-39",33,"Relegation to the Football League Championship"
"1992–93",20,"Wolverhampton Wanderers (R)",38,7,12,19,38,77,"-39",33,"Relegation to the Football League Championship"
